case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,1,100,car,1028.287,1005.096,0.0,0.0,-1.841,4.68,2.06
1,2,1,100,car,964.957,999.226,-12.272,4.513,2.789,4.42,1.79
1,3,1,100,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1,4,1,100,car,992.865,982.429,0.0,0.0,1.522,4.39,1.69
1,5,1,100,car,1029.902,1012.818,0.0,0.0,-1.804,4.92,2.15
1,6,1,100,car,1016.579,1001.133,-0.147,-0.149,-2.348,4.51,1.89
1,7,1,100,car,1010.929,970.128,2.122,-8.395,-1.323,5.04,1.88
1,8,1,100,car,937.246,1005.872,-12.129,2.177,2.964,4.84,1.81
1,9,1,100,car,981.964,998.174,-13.262,2.388,2.963,4.04,1.72
1,10,1,100,car,1023.006,1008.341,-0.891,-1.736,-2.045,4.52,1.87
1,1,2,200,car,1028.287,1005.096,0.0,0.0,-1.841,4.68,2.06
1,2,2,200,car,963.725,999.662,-12.491,4.417,2.802,4.42,1.79
1,3,2,200,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1,4,2,200,car,992.865,982.429,0.0,0.0,1.522,4.39,1.69
1,5,2,200,car,1029.902,1012.818,0.0,0.0,-1.804,4.92,2.15
1,6,2,200,car,1016.563,1001.118,-0.143,-0.145,-2.348,4.51,1.89
1,7,2,200,car,1011.103,969.278,1.933,-8.514,-1.347,5.04,1.88
1,8,2,200,car,936.033,1006.09,-12.13,2.173,2.964,4.84,1.81
1,9,2,200,car,980.638,998.412,-13.216,2.37,2.964,4.04,1.72
1,10,2,200,car,1022.915,1008.168,-0.83,-1.614,-2.046,4.52,1.87
1,1,3,300,car,1028.287,1005.096,0.0,0.0,-1.841,4.68,2.06
1,2,3,300,car,962.47,1000.088,-12.696,4.32,2.814,4.42,1.79
1,3,3,300,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1,4,3,300,car,992.865,982.429,0.0,0.0,1.522,4.39,1.69
1,5,3,300,car,1029.902,1012.818,0.0,0.0,-1.804,4.92,2.15
1,6,3,300,car,1016.549,1001.104,-0.137,-0.139,-2.348,4.51,1.89
1,7,3,300,car,1011.26,968.417,1.756,-8.612,-1.37,5.04,1.88
1,8,3,300,car,934.82,1006.306,-12.131,2.169,2.965,4.84,1.81
1,9,3,300,car,979.316,998.648,-13.169,2.353,2.965,4.04,1.72
1,10,3,300,car,1022.83,1008.008,-0.77,-1.491,-2.047,4.52,1.87
1,1,4,400,car,1028.287,1005.096,0.0,0.0,-1.841,4.68,2.06
1,2,4,400,car,961.196,1000.506,-12.885,4.222,2.825,4.42,1.79
1,3,4,400,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1,4,4,400,car,992.865,982.429,0.0,0.0,1.522,4.39,1.69
1,5,4,400,car,1029.902,1012.818,0.0,0.0,-1.804,4.92,2.15
1,6,4,400,car,1016.535,1001.09,-0.13,-0.132,-2.349,4.51,1.89
1,7,4,400,car,1011.403,967.548,1.587,-8.691,-1.39,5.04,1.88
1,9,4,400,car,977.999,998.883,-13.122,2.338,2.965,4.04,1.72
1,10,4,400,car,1022.751,1007.86,-0.709,-1.368,-2.049,4.52,1.87
1,1,5,500,car,1028.287,1005.096,0.0,0.0,-1.841,4.68,2.06
1,2,5,500,car,959.903,1000.915,-13.059,4.124,2.836,4.42,1.79
1,3,5,500,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1,4,5,500,car,992.865,982.429,0.0,0.0,1.522,4.39,1.69
1,5,5,500,car,1029.902,1012.818,0.0,0.0,-1.804,4.92,2.15
1,6,5,500,car,1016.521,1001.078,-0.123,-0.125,-2.349,4.51,1.89
1,7,5,500,car,1011.531,966.672,1.427,-8.75,-1.409,5.04,1.88
1,9,5,500,car,976.687,999.116,-13.074,2.325,2.966,4.04,1.72
1,10,5,500,car,1022.677,1007.724,-0.649,-1.247,-2.051,4.52,1.87
1,11,5,500,car,1035.367,988.265,-12.113,2.048,2.974,5.04,1.87
1,1,6,600,car,1028.287,1005.096,0.0,0.0,-1.841,4.68,2.06
1,2,6,600,car,958.593,1001.314,-13.216,4.026,2.846,4.42,1.79
1,3,6,600,car,1026.041,997.507,0.0,0.0,-1.805,4.52,1.99
1,4,6,600,car,992.865,982.429,0.0,0.0,1.522,4.39,1.69
1,5,6,600,car,1029.902,1012.818,0.0,0.0,-1.804,4.92,2.15
1,6,6,600,car,1016.509,1001.066,-0.116,-0.117,-2.35,4.51,1.89
1,7,6,600,car,1011.645,965.792,1.271,-8.791,-1.427,5.04,1.88
1,9,6,600,car,975.38,999.349,-13.026,2.313,2.966,4.04,1.72
1,10,6,600,car,1022.61,1007.601,-0.591,-1.131,-2.052,4.52,1.87
1,11,6,600,car,1034.156,988.47,-12.125,2.057,2.974,5.04,1.87
